"tx_merchant_clean","month_number","year(Post_date)","key","value"
"BLOOMINGDALES BR-NOUL",3,2014,"Sum",651943
"BLOOMINGDALES BR-NOUL",4,2014,"Sum",622673.95
"BLOOMINGDALES BR-NOUL",5,2014,"Sum",855598.2
"BLOOMINGDALES BR-NOUL",6,2014,"Sum",1194042.7
"BLOOMINGDALES BR-NOUL",7,2014,"Sum",957275.75
"BLOOMINGDALES BR-NOUL",8,2014,"Sum",525290.1
"BLOOMINGDALES BR-NOUL",9,2013,"Sum",359510.4
"BLOOMINGDALES BR-NOUL",10,2013,"Sum",727896.33
"BLOOMINGDALES BR-NOUL",11,2013,"Sum",599375
"BLOOMINGDALES BR-NOUL",12,2013,"Sum",1035143.3
"BNKNT UTLTY PYMNT-ETIS",1,2014,"Sum",1316500.83
"BNKNT UTLTY PYMNT-ETIS",2,2014,"Sum",1384285.43
"BNKNT UTLTY PYMNT-ETIS",3,2014,"Sum",1728785.07
"BNKNT UTLTY PYMNT-ETIS",4,2014,"Sum",1570955.47
"BNKNT UTLTY PYMNT-ETIS",5,2014,"Sum",1753189.42
"BNKNT UTLTY PYMNT-ETIS",6,2014,"Sum",1675392.43
"BNKNT UTLTY PYMNT-ETIS",7,2014,"Sum",1827260.84
"BNKNT UTLTY PYMNT-ETIS",8,2014,"Sum",1869945.26
"BNKNT UTLTY PYMNT-ETIS",9,2013,"Sum",1301460.19
"BNKNT UTLTY PYMNT-ETIS",10,2013,"Sum",1321509.21
"BNKNT UTLTY PYMNT-ETIS",11,2013,"Sum",1443518.82
"BNKNT UTLTY PYMNT-ETIS",12,2013,"Sum",1513315.63
"CARREFOUR",1,2014,"Sum",11133386.85
"CARREFOUR",2,2014,"Sum",7453328.21
"CARREFOUR",3,2014,"Sum",8287897.7
"CARREFOUR",4,2014,"Sum",9028163.87
"CARREFOUR",5,2014,"Sum",8221251.51
"CARREFOUR",6,2014,"Sum",9104021.64
"CARREFOUR",7,2014,"Sum",8191952.01
"CARREFOUR",8,2014,"Sum",7807218.52
"CARREFOUR",9,2013,"Sum",6962208.43
"CARREFOUR",10,2013,"Sum",8272154.42
"CARREFOUR",11,2013,"Sum",7866082.16
"CARREFOUR",12,2013,"Sum",7914653.5
"CHANEL",1,2014,"Sum",302718.11
"CHANEL",2,2014,"Sum",279539.61
"CHANEL",3,2014,"Sum",415085
"CHANEL",4,2014,"Sum",420921.91
"CHANEL",5,2014,"Sum",294097.61
"CHANEL",6,2014,"Sum",220164.92
"CHANEL",7,2014,"Sum",209934.93
"CHANEL",8,2014,"Sum",332265.46
"CHANEL",9,2013,"Sum",328619.24
"CHANEL",10,2013,"Sum",182997.59
"CHANEL",11,2013,"Sum",164554.9
"CHANEL",12,2013,"Sum",444974.85
"CLEAR TRIP MEA FZ LLC",1,2014,"Sum",288896
"CLEAR TRIP MEA FZ LLC",2,2014,"Sum",291448
"CLEAR TRIP MEA FZ LLC",3,2014,"Sum",377632
"CLEAR TRIP MEA FZ LLC",4,2014,"Sum",369609
"CLEAR TRIP MEA FZ LLC",5,2014,"Sum",477713
"CLEAR TRIP MEA FZ LLC",6,2014,"Sum",382542
"CLEAR TRIP MEA FZ LLC",7,2014,"Sum",611059
"CLEAR TRIP MEA FZ LLC",8,2014,"Sum",471733
"CLEAR TRIP MEA FZ LLC",9,2013,"Sum",238842
"CLEAR TRIP MEA FZ LLC",10,2013,"Sum",322805
"CLEAR TRIP MEA FZ LLC",11,2013,"Sum",296789
"CLEAR TRIP MEA FZ LLC",12,2013,"Sum",231197
"CLEARTRIP MEA FZ LLC",1,2014,"Sum",260401.93
"CLEARTRIP MEA FZ LLC",2,2014,"Sum",236029.35
"CLEARTRIP MEA FZ LLC",3,2014,"Sum",387713.29
"CLEARTRIP MEA FZ LLC",4,2014,"Sum",340254
"CLEARTRIP MEA FZ LLC",5,2014,"Sum",470483
"CLEARTRIP MEA FZ LLC",6,2014,"Sum",575926
"CLEARTRIP MEA FZ LLC",7,2014,"Sum",768501.95
"CLEARTRIP MEA FZ LLC",8,2014,"Sum",668277
"CLEARTRIP MEA FZ LLC",9,2013,"Sum",298637.59
"CLEARTRIP MEA FZ LLC",10,2013,"Sum",246098.48
"CLEARTRIP MEA FZ LLC",11,2013,"Sum",261256
"CLEARTRIP MEA FZ LLC",12,2013,"Sum",220331
"DAMAS JEWELLERY LLC",1,2014,"Sum",185363
"DAMAS JEWELLERY LLC",2,2014,"Sum",302174
"DAMAS JEWELLERY LLC",3,2014,"Sum",411071
"DAMAS JEWELLERY LLC",4,2014,"Sum",187721
"DAMAS JEWELLERY LLC",5,2014,"Sum",245771
"DAMAS JEWELLERY LLC",6,2014,"Sum",326283
"DAMAS JEWELLERY LLC",7,2014,"Sum",233747
"DAMAS JEWELLERY LLC",8,2014,"Sum",215081
"DAMAS JEWELLERY LLC",9,2013,"Sum",218473
"DAMAS JEWELLERY LLC",10,2013,"Sum",306657
"DAMAS JEWELLERY LLC",11,2013,"Sum",392915
"DAMAS JEWELLERY LLC",12,2013,"Sum",521803
"DEBENHAMS-4301",1,2014,"Sum",366373.2
"DEBENHAMS-4301",2,2014,"Sum",209098
"DEBENHAMS-4301",3,2014,"Sum",374556.5
"DEBENHAMS-4301",4,2014,"Sum",287945.5
"DEBENHAMS-4301",5,2014,"Sum",296064.5
"DEBENHAMS-4301",6,2014,"Sum",412478.5
"DEBENHAMS-4301",7,2014,"Sum",274051
"DEBENHAMS-4301",8,2014,"Sum",222670
"DEBENHAMS-4301",9,2013,"Sum",285484.5
"DEBENHAMS-4301",10,2013,"Sum",307805.5
"DEBENHAMS-4301",11,2013,"Sum",294091.38
"DEBENHAMS-4301",12,2013,"Sum",377432
"DNATA TRAVEL SERVICES",1,2014,"Sum",315186
"DNATA TRAVEL SERVICES",2,2014,"Sum",333159.22
"DNATA TRAVEL SERVICES",3,2014,"Sum",483720.66
"DNATA TRAVEL SERVICES",4,2014,"Sum",538977.8
"DNATA TRAVEL SERVICES",5,2014,"Sum",644723
"DNATA TRAVEL SERVICES",6,2014,"Sum",629625.81
"DNATA TRAVEL SERVICES",7,2014,"Sum",595784
"DNATA TRAVEL SERVICES",8,2014,"Sum",550785.9
"DNATA TRAVEL SERVICES",9,2013,"Sum",503499
"DNATA TRAVEL SERVICES",10,2013,"Sum",334052.05
"DNATA TRAVEL SERVICES",11,2013,"Sum",313779
"DNATA TRAVEL SERVICES",12,2013,"Sum",370947
"DP WORLD UAE REGION FZ",1,2014,"Sum",3858092
"DP WORLD UAE REGION FZ",2,2014,"Sum",3327316
"DP WORLD UAE REGION FZ",3,2014,"Sum",3016196
"DP WORLD UAE REGION FZ",4,2014,"Sum",3021237
"DP WORLD UAE REGION FZ",5,2014,"Sum",4100720
"DP WORLD UAE REGION FZ",6,2014,"Sum",3808989
"DP WORLD UAE REGION FZ",7,2014,"Sum",4860763
"DP WORLD UAE REGION FZ",8,2014,"Sum",4657737
